Date,Open,High,Low,Close,Volume
2022-01-03,112.9596,113.4423,110.0632,111.0287,22176946.0
2022-01-04,114.3113,114.794,111.7045,112.8631,23228903.0
2022-01-05,114.8905,114.9871,109.9667,110.5459,30717509.0
2022-01-06,113.4423,116.918,113.2492,116.8215,47231895.0
2022-01-07,122.1315,124.3521,118.5593,124.3521,58778943.0
2022-01-10,124.3521,125.0279,121.0695,123.1935,36814976.0
2022-01-11,120.6833,122.1315,119.6213,121.2626,31659059.0
2022-01-12,124.159,128.5036,123.9659,128.4071,44483108.0
2022-01-13,130.338,130.338,125.8969,127.6347,36032047.0
2022-01-14,122.5177,124.8348,122.2281,124.8348,28235556.0
2022-01-17,124.8348,125.6072,123.0005,124.0625,23534494.0
2022-01-18,124.7383,126.3796,121.0695,122.035,23468279.0
2022-01-19,121.8419,122.9039,119.2351,119.911,29730153.0
2022-01-20,120.6833,127.9243,120.6833,126.9589,44796183.0
2022-01-21,121.7453,123.097,119.7179,122.7108,61817387.0
2022-01-24,117.7869,117.7869,114.6009,114.9871,54758602.0
2022-01-25,112.3803,114.6974,111.1252,112.7665,41283512.0
2022-01-26,112.2838,114.6009,110.1597,112.8631,35353738.0
2022-01-27,106.6841,108.0357,104.2704,104.7531,75467681.0
2022-01-28,106.2013,107.6495,104.8497,106.2013,43809950.0
2022-01-31,108.2288,112.1872,107.6495,110.0632,29579311.0
2022-02-04,115.856,116.6284,114.3113,116.2422,43293069.0
2022-02-07,113.3458,114.6009,109.677,111.0287,54757312.0
2022-02-08,108.7115,109.5805,106.7806,107.3599,41696354.0
2022-02-09,113.9251,115.2767,112.9596,114.6974,44480636.0
2022-02-10,118.7524,118.7524,115.2767,117.98,32353947.0
2022-02-11,116.2422,118.6559,115.856,118.1731,24203787.0
2022-02-14,114.8905,115.7595,114.1182,114.6009,19512374.0
2022-02-15,113.9251,115.856,113.3458,114.3113,16132479.0
2022-02-16,118.1731,118.7524,116.918,118.2697,20308833.0
2022-02-17,117.7869,119.042,116.7249,118.7524,18965828.0
2022-02-18,118.3662,119.7179,114.6009,115.3733,36059936.0
2022-02-21,111.801,113.0561,110.0632,110.9321,36333556.0
2022-02-22,105.2359,108.0357,105.0428,107.553,43059975.0
2022-02-23,106.2013,109.3874,106.2013,108.5185,27244901.0
2022-02-24,103.7877,104.6566,100.0223,101.2775,64889871.0
2022-02-25,103.6911,104.4635,101.2775,101.6636,42605788.0
2022-02-28,99.7327,100.6016,97.2225,100.6016,56081193.0
2022-03-01,98.6707,101.1809,98.3811,100.2154,30377847.0
2022-03-02,100.312,102.9187,100.312,100.312,32172998.0
2022-03-03,99.9258,100.8913,99.4431,100.7947,23582886.0
2022-03-04,94.8088,96.7398,94.8088,95.5812,67845622.0
2022-03-07,92.9262,94.6157,90.1746,92.6848,59539428.0
2022-03-08,94.1813,96.4984,92.4917,93.5537,49195657.0
2022-03-09,93.5537,93.9882,89.4022,92.9262,60560894.0
2022-03-10,96.257,96.257,91.1401,92.7813,46922499.0
2022-03-11,87.423,88.9678,85.0093,87.6644,74997978.0
2022-03-14,83.175,83.6094,77.4787,78.1063,99109140.0
2022-03-15,71.2514,76.6098,68.5481,68.7895,166892058.0
2022-03-16,71.9273,87.9057,71.1549,87.5678,159307067.0
2022-03-17,100.4085,100.4085,92.009,98.4776,147199025.0
2022-03-18,93.7951,96.7398,91.7193,94.9536,69216323.0
2022-03-21,101.1809,101.1809,93.8916,95.6777,78145126.0
2022-03-22,98.7672,107.553,98.5741,106.3944,82216795.0
2022-03-23,110.6425,115.2767,108.615,113.5389,109736384.0
2022-03-24,112.3803,114.8905,109.5805,109.8701,56175392.0
2022-03-25,107.553,109.5805,101.1809,103.6911,59754137.0
