Date,Open,High,Low,Close,Volume
2022-01-03,415.6628,417.1137,410.0409,412.2171,853712.0
2022-01-04,414.212,414.7561,402.2427,407.6833,2599577.0
2022-01-05,409.8595,409.8595,397.8902,399.1596,3123277.0
2022-01-06,389.9106,395.5326,388.2784,394.4444,4372394.0
2022-01-07,397.5275,408.9528,392.8123,407.5019,4773532.0
2022-01-10,407.5019,418.9272,403.8748,415.4815,4585695.0
2022-01-11,415.4815,416.3883,408.4087,410.4036,3378343.0
2022-01-12,415.3001,422.0102,410.9476,418.7459,4701683.0
2022-01-13,423.6424,423.6424,411.4917,414.0307,3651213.0
2022-01-14,410.7663,413.8493,408.4087,410.5849,2319167.0
2022-01-17,409.6782,412.3985,407.3206,408.7714,1362700.0
2022-01-18,408.7714,412.7612,406.7765,410.4036,1677603.0
2022-01-19,415.1188,415.1188,410.0409,413.8493,2111757.0
2022-01-20,415.1188,430.5338,413.4866,429.9898,6457949.0
2022-01-21,429.9898,438.5134,428.7203,435.9745,6362815.0
2022-01-24,437.2439,437.2439,427.8135,429.2644,3212700.0
2022-01-25,424.9119,428.3576,420.9221,424.1865,3850626.0
2022-01-26,424.9119,427.4508,415.4815,418.3831,3820025.0
2022-01-27,410.0409,413.3052,408.59,412.9425,3557456.0
2022-01-28,408.046,410.2222,393.175,395.7139,10253484.0
2022-01-31,391.7241,399.5224,391.1801,397.5275,2518026.0
2022-02-04,405.6884,405.6884,397.7088,401.3359,4800570.0
2022-02-07,402.0613,405.8697,399.341,404.0562,2471800.0
2022-02-08,403.5121,405.6884,397.8902,400.4291,2388265.0
2022-02-09,402.2427,408.7714,402.2427,407.8646,3791790.0
2022-02-10,409.4968,412.0358,405.507,407.8646,2446926.0
2022-02-11,405.6884,406.2324,400.7918,402.9681,2738718.0
2022-02-14,399.8851,399.8851,394.8072,396.6207,2817164.0
2022-02-15,394.4444,399.7037,393.175,396.4393,2729082.0
2022-02-16,398.0715,400.4291,397.1648,398.6156,1973976.0
2022-02-17,394.9885,398.9783,392.6309,396.6207,2621718.0
2022-02-18,392.2682,396.6207,391.3614,393.719,2392756.0
2022-02-21,390.9987,392.6309,388.2784,390.636,3532801.0
2022-02-22,384.1073,387.553,377.2158,379.2107,7128409.0
2022-02-23,377.7599,381.7497,377.7599,378.304,3733588.0
2022-02-24,374.3142,374.3142,355.8161,357.811,13410230.0
2022-02-25,361.0754,363.7957,349.106,353.6399,9081739.0
2022-02-28,353.6399,353.6399,338.0434,342.3959,10477797.0
2022-03-01,339.857,343.3027,336.4112,340.9451,7970928.0
2022-03-02,332.7842,336.9553,329.5198,329.8825,8225892.0
2022-03-03,333.3282,333.8723,328.4317,329.3384,5731813.0
2022-03-04,321.9029,326.9808,318.6386,322.6284,9231532.0
2022-03-07,314.4674,315.5556,308.3014,308.3014,9351916.0
2022-03-08,309.0268,316.6437,308.3014,308.6641,8053255.0
2022-03-09,308.4621,312.1343,288.2652,302.0359,15160524.0
2022-03-10,309.1966,314.7048,304.79,310.2982,10479500.0
2022-03-11,300.9342,323.7016,297.262,318.1934,16874788.0
2022-03-14,317.2754,317.2754,302.9539,306.0752,12110865.0
2022-03-15,298.5473,310.8491,292.3046,295.9768,12929578.0
2022-03-16,303.8719,334.5345,301.1178,330.8624,18947029.0
2022-03-17,354.5479,361.7086,339.8592,351.2429,16462669.0
2022-03-18,350.3249,353.6298,342.4297,347.5707,6012437.0
2022-03-21,351.4265,351.6101,342.7969,343.5314,3817968.0
2022-03-22,345.551,349.774,341.3281,348.856,4236957.0
2022-03-23,347.0199,356.2003,347.0199,351.4265,5421773.0
2022-03-24,349.2232,354.9151,347.3871,352.5282,4285958.0
2022-03-25,348.856,353.4462,340.41,342.9805,4984150.0
2022-03-28,340.0428,346.6527,336.9215,341.8789,3839918.0
2022-03-29,344.4494,345.9183,339.6756,341.5117,3072303.0
2022-03-30,345.1838,352.3446,341.8789,345.3674,5173799.0
2022-03-31,345.1838,345.3674,339.492,340.9608,4147679.0
2022-04-01,336.9215,336.9215,327.9246,336.0034,5535422.0
2022-04-04,337.8395,341.8789,334.5345,340.41,4026899.0
2022-04-06,339.6756,339.6756,327.741,329.0263,7157883.0
2022-04-07,325.1705,332.1476,322.6,325.7213,3935719.0
2022-04-08,323.518,327.3738,321.4983,326.2722,3390506.0
2022-04-11,322.4164,323.518,314.8884,315.072,5656964.0
2022-04-12,315.072,319.1114,310.2982,315.2557,4060040.0
2022-04-13,312.5015,314.8884,310.2982,312.8687,3400520.0
2022-04-14,313.0524,317.2754,312.1343,313.7868,2871927.0
2022-04-19,305.5244,309.1966,303.3211,303.8719,4578430.0
2022-04-20,303.1375,306.8097,298.3637,299.4653,6110093.0
2022-04-21,296.5276,300.7506,293.7735,296.344,5932093.0
2022-04-22,292.8554,308.4621,292.3046,308.0949,6138534.0
2022-04-25,302.9539,302.9539,294.5079,296.8948,4690221.0
2022-04-26,298.7309,301.485,294.8751,295.4259,4232094.0
2022-04-27,293.2226,298.7309,292.8554,295.0587,3832335.0
2022-04-28,295.0587,300.3834,292.3046,299.0981,2735413.0
2022-04-29,301.1178,313.4196,299.2817,310.1146,6082000.0
2022-05-03,313.0524,319.4787,305.8916,313.7868,5217095.0
2022-05-04,313.9704,314.154,308.4621,309.5638,2056704.0
2022-05-05,314.5212,317.6426,312.3179,313.6032,4038739.0
2022-05-06,307.5441,308.0949,299.6489,300.7506,5972284.0
2022-05-10,294.5079,302.2195,293.7735,298.9145,4655168.0
2022-05-11,298.9145,304.6064,296.5276,298.7309,3667322.0
